Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8686068,"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,"Higashino, Keigo","Alexander O. Smith, Elye J. Alexander","=""0312375069""","=""9780312375065""",5,4.17,Minotaur Books,Hardcover,298,2011,2005,,2023/05/24,,,read,the real devotion (bro went too far) (at this point it's an obsession),true,,1,0
194746,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""""","=""""",4,3.94,New Directions,Paperback,176,1958,1948,,2023/05/29,,,read,yea man this is literally the story of a person being no longer human (thumbs up)<br/>(please seek for professional help and do not be Yozo Oba),,,1,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",5,4.03,Vintage International,Paperback,123,1989,1942,2023/06/19,2023/05/29,,,read,the first line sent chills towards the whole body bro. absurd and I love it,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",5,4.01,Penguin Press,Hardcover,246,2019,2019,,2023/05/24,,,read,bro straight up spitting poems and i like it very well except the ... scene (I am a mere human after all) ,,,1,0
53223710,Heaven,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456211""","=""9781609456214""",5,3.78,Europa Editions,Hardcover,192,2021,2009,2023/07/10,2023/05/31,,,read,I love mundane novel. This one make me question the right or wrong of things. magnificent artwork indeed,,,1,0
62047992,"Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #1)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""0063278677""","=""9780063278677""",3,3.64,Harper Perennial,Paperback,150,2023,2010,2023/10/29,2023/10/28,,,read,the ending was just not it,,,1,0
66269953,"Before We Say Goodbye (Before the Coffee Gets Cold, #4)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""0369747305""","=""9780369747303""",4,3.92,Hanover Square Press,ebook,173,2023,2021,,2023/11/05,,,read,somewhere here i cried a little,,,1,0
61340205,The Flowers of Buffoonery,Osamu Dazai,"Dazai, Osamu",Sam Bett,"=""0811234541""","=""9780811234542""",4,3.78,New Directions,Paperback,96,2023,1935,2023/12/26,2023/12/26,,,read,quite the fun read (i did not focus while reading this) ,,,1,0
169437,Botchan,Natsume Sōseki,"Sōseki, Natsume",Joel Cohn,"=""4770030487""","=""9784770030481""",0,3.64,Kodansha USA,Paperback,171,2007,1906,,2024/01/03,to-read,to-read (#44),to-read,,,,0,0
62772,I Am a Cat,Natsume Sōseki,"Sōseki, Natsume","Graeme Wilson, Aiko Ito","=""080483265X""","=""9780804832656""",0,3.67,Tuttle Publishing,Paperback,470,2001,1906,,2024/01/03,to-read,to-read (#43),to-read,,,,0,0
31945227,A Velocity of Being: Letters to a Young Reader,Maria Popova,"Popova, Maria","Claudia Zoe Bedrick, David Remnick, Rebecca Solnit, Regina Spektor","=""1592702287""","=""9781592702282""",0,4.52,Enchanted Lion,Hardcover,272,2018,2018,,2024/01/01,to-read,to-read (#42),to-read,,,,0,0
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana","Megan Backus, Noguchi Rika","=""0802142443""","=""9780802142443""",0,3.90,Grove Press,Paperback,160,2006,1988,,2024/01/01,to-read,to-read (#41),to-read,,,,0,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",5,3.92,HarperOne,Paperback,182,2014,1988,2023/12/30,2023/12/26,,,read,absolute heartwarming,,,1,0
6434062,"Vagabond, Vol. 6",Takehiko Inoue,"Inoue, Takehiko",,"=""1421522802""","=""9781421522807""",5,4.69,VIZ Media LLC,Paperback,584,2010,2003,,2023/05/24,manga,manga (#1),read,,,,1,0
54702009,チェンソーマン 9 [Chainsaw Man 9],Tatsuki Fujimoto,"Fujimoto, Tatsuki",藤本タツキ,"=""4088824709""","=""9784088824703""",5,4.65,集英社 [Shūeisha],Paperback,192,2020,2020,,2023/05/24,,,read,,,,1,0
48688651,Memory of Glass,Rikako Akiyoshi,"Akiyoshi, Rikako",,"=""6237351213""","=""9786237351214""",4,4.32,Penerbit Haru,Paperback,360,2019,2018,,2023/05/30,,,read,,,,1,0
57427660,Merakit Kapal,Shion Miura,"Miura, Shion",Ninuk Sulistyawati,"=""6020650685""","=""9786020650685""",4,3.81,Gramedia Pustaka Utama,Paperback,294,2021,2011,,2023/05/30,,,read,,,,1,0
38357895,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,"=""""","=""""",5,3.67,Portobello Books,Paperback,163,2018,2016,,2023/05/31,,,read,,,,1,0
57743808,Funiculi Funicula - Before the Coffee Gets Cold,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Dania Sakti,"=""6020651924""","=""9786020651927""",5,3.66,Gramedia Pustaka Utama,Paperback,224,2021,2015,,2023/05/31,,,read,,,,1,0
53469602,Confession,Marumi Kimura,"Kimura, Marumi",Kanae Minato 湊 かなえ,"=""4575302252""","=""9784575302257""",5,4.14,Futabasha,ebook,178,2010,2010,,2023/05/30,,,read,,,,1,0
36657784,Silence,Rikako Akiyoshi,"Akiyoshi, Rikako",Yulita Dewi Pusparanny,"=""6026383387""","=""9786026383389""",3,3.46,Penerbit Haru,Paperback,328,2017,,,2023/05/30,,,read,,,,1,0
35049954,Scheduled Suicide Day,Rikako Akiyoshi,"Akiyoshi, Rikako",Andry Setiawan,"=""6026383190""","=""9786026383198""",4,3.86,Haru,Paperback,280,2017,2016,,2023/05/30,,,read,,,,1,0
59336625,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David  Boyd","=""1609456998""","=""9781609456993""",4,3.68,Europa Editions,Hardcover,224,2022,2011,,2023/06/24,,,read,"Don't let the title fool you, <br/>The story is saddening, I really felt bad for Fuyuko :(<br/>Can't say I like this book, but it gave me a lot of insights<br/>Oh well",true,,1,0
194740,The Setting Sun,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""0811200329""","=""9780811200325""",4,3.97,New Directions,Paperback,175,2020,1947,,2023/05/29,,,read,"Such a cruel life full of demise, as the title said, the setting sun, all hopes and lights that she had, seem to vanished, but she still got to live her life, for a new world",,,1,0
54614599,First Person Singular: Stories,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0593318072""","=""9780593318072""",4,3.53,Knopf,Hardcover,245,2021,2020,,2023/12/12,,,read,Monkey think monkey do,,,1,0
23847971,"A Midsummer's Equation (Detective Galileo, #3)",Keigo Higashino,"Higashino, Keigo",Alexander O. Smith,"=""1250027926""","=""9781250027924""",0,3.96,Minotaur Books,Hardcover,358,2016,2011,,2023/11/30,to-read,to-read (#40),to-read,,,,0,0
57693262,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,"=""1635576814""","=""9781635576818""",0,3.69,Bloomsbury Publishing,Paperback,368,2022,2022,,2023/10/12,currently-reading,currently-reading (#3),currently-reading,,,,1,0
59357120,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,3.73,The Borough Press,Hardcover,329,2023,2023,2023/10/21,2023/10/08,,,read,Sublimely irritating,,,1,0
28922,An Artist of the Floating World,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""0571225365""","=""9780571225361""",0,3.78,Faber and Faber,Paperback,206,2005,1986,,2023/10/08,to-read,to-read (#39),to-read,,,,0,0
54110592,How Do You Live?,Genzaburo Yoshino,"Yoshino, Genzaburo","Neil Gaiman, Bruno Navasky","=""1616209771""","=""9781616209773""",5,3.99,"Little, Brown Books for Young Readers",Hardcover,288,2021,1937,,2023/09/23,,,read,berikan ini pada diriku umur 13,,,1,0
60224365,"Before Your Memory Fades (Before the Coffee Gets Cold, #3)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""0369722698""","=""9780369722690""",5,3.88,Hanover Square Press,ebook,220,2022,2018,2023/09/30,2023/09/29,,,read,I'll cry for this again whenever,,,1,0
54633167,Lonely Castle in the Mirror,Mizuki Tsujimura,"Tsujimura, Mizuki",,"=""0857527274""","=""9780857527271""",5,4.23,Doubleday,Hardcover,384,2021,2017,,2023/09/01,,,read,The sorta book I would've given to the child me,,,2,0
6514,The Bell Jar,Sylvia Plath,"Plath, Sylvia",,"=""0571268862""","=""9780571268863""",0,4.05,Harper Perennial Modern Classics,Paperback,294,2006,1963,,2023/09/27,to-read,to-read (#38),to-read,,,,0,0
